video_id,title,category,tags,author_id,duration_seconds,publish_time,description
36,Movie Video 36,movie,actor;trailer;animation;clip,668,61,2025-11-17T13:19:53,"A short video about movie, including actor, trailer, animation, clip."
37,Movie Video 37,movie,drama;actor;trailer;review,409,88,2026-03-27T11:22:33,"A short video about movie, including drama, actor, trailer, review."
38,Life Video 38,life,pet;fashion;home,797,166,2025-07-24T15:50:11,"A short video about life, including pet, fashion, home."
39,Sports Video 39,sports,football;table_tennis;match,204,86,2025-12-23T03:15:01,"A short video about sports, including football, table_tennis, match."
40,Movie Video 40,movie,trailer;clip,589,174,2025-06-03T04:06:29,"A short video about movie, including trailer, clip."
41,Movie Video 41,movie,actor;review,812,89,2025-07-06T05:05:32,"A short video about movie, including actor, review."
42,Game Video 42,game,walkthrough;esports;mobile_game;strategy,21,64,2025-12-25T02:16:36,"A short video about game, including walkthrough, esports, mobile_game, strategy."
43,Travel Video 43,travel,culture;city,651,13,2026-04-23T04:32:03,"A short video about travel, including culture, city."
44,Sports Video 44,sports,running;football;basketball,797,136,2025-11-12T11:48:11,"A short video about sports, including running, football, basketball."
45,Tech Video 45,tech,phone;software,313,89,2026-03-04T15:48:00,"A short video about tech, including phone, software."
46,Life Video 46,life,home;workplace;family,933,147,2026-04-12T03:27:56,"A short video about life, including home, workplace, family."
47,Life Video 47,life,family;home;workplace;makeup,551,118,2026-02-07T12:34:58,"A short video about life, including family, home, workplace, makeup."
48,Music Video 48,music,pop;cover;concert,257,148,2025-07-24T23:26:19,"A short video about music, including pop, cover, concert."
49,Funny Video 49,funny,joke;daily_fun,265,51,2025-08-23T13:30:12,"A short video about funny, including joke, daily_fun."
50,Study Video 50,study,english;skill;exam;reading,608,43,2026-02-23T10:04:00,"A short video about study, including english, skill, exam, reading."
51,Movie Video 51,movie,drama;trailer;review,92,164,2025-12-29T23:20:42,"A short video about movie, including drama, trailer, review."
52,Travel Video 52,travel,vlog;guide;landscape,321,69,2025-08-17T16:50:39,"A short video about travel, including vlog, guide, landscape."
53,Study Video 53,study,campus;skill;exam,225,173,2026-04-04T11:32:21,"A short video about study, including campus, skill, exam."
54,Sports Video 54,sports,table_tennis;football,306,87,2025-05-09T04:26:18,"A short video about sports, including table_tennis, football."
55,Sports Video 55,sports,match;running,88,160,2026-02-23T18:48:17,"A short video about sports, including match, running."
56,Study Video 56,study,math;exam,223,117,2025-07-10T14:32:03,"A short video about study, including math, exam."
57,Food Video 57,food,street_food;dessert;restaurant,528,106,2026-02-02T20:34:51,"A short video about food, including street_food, dessert, restaurant."
58,Travel Video 58,travel,hotel;city,755,76,2026-03-17T09:31:14,"A short video about travel, including hotel, city."
59,Game Video 59,game,moba;strategy;walkthrough,169,109,2025-11-13T00:12:14,"A short video about game, including moba, strategy, walkthrough."
60,Funny Video 60,funny,meme;joke,547,161,2025-10-01T10:38:35,"A short video about funny, including meme, joke."
61,Movie Video 61,movie,trailer;drama,983,9,2026-01-20T21:52:16,"A short video about movie, including trailer, drama."
62,Food Video 62,food,street_food;recipe,856,70,2025-12-16T08:09:35,"A short video about food, including street_food, recipe."
63,Tech Video 63,tech,phone;programming;robot;digital,853,72,2025-05-13T23:29:58,"A short video about tech, including phone, programming, robot, digital."
64,Tech Video 64,tech,programming;digital;robot;ai,585,61,2025-10-14T08:02:02,"A short video about tech, including programming, digital, robot, ai."
65,Game Video 65,game,mobile_game;walkthrough,559,11,2025-11-27T16:32:07,"A short video about game, including mobile_game, walkthrough."
66,Tech Video 66,tech,robot;programming,825,154,2025-11-20T00:48:10,"A short video about tech, including robot, programming."
67,Sports Video 67,sports,fitness;basketball;table_tennis;football,359,123,2025-11-22T20:55:32,"A short video about sports, including fitness, basketball, table_tennis, football."
68,Life Video 68,life,pet;makeup;family,571,60,2026-04-27T05:40:15,"A short video about life, including pet, makeup, family."
69,Travel Video 69,travel,guide;vlog,419,140,2025-04-29T04:36:43,"A short video about travel, including guide, vlog."
70,Funny Video 70,funny,challenge;reaction;sketch;joke,4,142,2025-05-16T01:43:26,"A short video about funny, including challenge, reaction, sketch, joke."
71,Study Video 71,study,campus;skill;english,764,134,2025-12-22T17:39:35,"A short video about study, including campus, skill, english."
72,Food Video 72,food,street_food;snack;dessert,867,77,2026-01-27T11:28:04,"A short video about food, including street_food, snack, dessert."
73,Life Video 73,life,fashion;workplace,895,113,2025-05-12T21:01:44,"A short video about life, including fashion, workplace."
74,Funny Video 74,funny,joke;sketch;challenge,47,138,2025-12-10T22:14:06,"A short video about funny, including joke, sketch, challenge."
75,Life Video 75,life,pet;fashion;workplace,454,176,2026-04-18T08:48:08,"A short video about life, including pet, fashion, workplace."
76,Tech Video 76,tech,ai;digital;programming;robot,214,85,2025-08-01T08:04:57,"A short video about tech, including ai, digital, programming, robot."
77,Sports Video 77,sports,basketball;match;fitness,524,127,2025-07-16T15:17:43,"A short video about sports, including basketball, match, fitness."
78,Movie Video 78,movie,animation;drama;actor;review,758,164,2025-12-31T01:45:28,"A short video about movie, including animation, drama, actor, review."
79,Tech Video 79,tech,programming;robot;software,265,64,2025-06-19T16:04:59,"A short video about tech, including programming, robot, software."
80,Food Video 80,food,dessert;restaurant;street_food;cooking,195,76,2026-03-21T17:34:43,"A short video about food, including dessert, restaurant, street_food, cooking."
81,Life Video 81,life,family;home;fashion,540,125,2026-02-04T09:31:45,"A short video about life, including family, home, fashion."
82,Funny Video 82,funny,daily_fun;joke;sketch,736,37,2026-01-12T15:37:34,"A short video about funny, including daily_fun, joke, sketch."
83,Game Video 83,game,moba;strategy,505,90,2026-03-08T09:18:50,"A short video about game, including moba, strategy."
84,Life Video 84,life,home;pet,721,134,2025-07-31T14:24:14,"A short video about life, including home, pet."
85,Funny Video 85,funny,challenge;daily_fun;meme,710,164,2026-01-30T11:06:28,"A short video about funny, including challenge, daily_fun, meme."
86,Music Video 86,music,cover;dance;guitar,242,67,2025-12-03T23:45:16,"A short video about music, including cover, dance, guitar."
87,Study Video 87,study,reading;exam,509,92,2025-06-29T10:22:40,"A short video about study, including reading, exam."
88,Game Video 88,game,mobile_game;esports,328,130,2025-10-13T20:01:55,"A short video about game, including mobile_game, esports."
89,Music Video 89,music,guitar;dance;pop,397,11,2026-02-12T16:46:50,"A short video about music, including guitar, dance, pop."
90,Life Video 90,life,fashion;home;pet,668,126,2025-11-24T14:18:19,"A short video about life, including fashion, home, pet."
91,Food Video 91,food,snack;cooking;restaurant;recipe,94,118,2026-01-21T13:49:13,"A short video about food, including snack, cooking, restaurant, recipe."
92,Tech Video 92,tech,programming;phone;digital;robot,647,92,2025-12-12T05:39:13,"A short video about tech, including programming, phone, digital, robot."
93,Music Video 93,music,pop;concert,180,159,2025-10-31T00:42:09,"A short video about music, including pop, concert."
94,Travel Video 94,travel,vlog;city;hotel;guide,552,113,2026-01-15T15:24:19,"A short video about travel, including vlog, city, hotel, guide."
95,Study Video 95,study,english;exam;skill;math,1000,53,2026-03-10T10:16:55,"A short video about study, including english, exam, skill, math."
96,Music Video 96,music,pop;dance;concert,481,139,2025-08-15T03:14:33,"A short video about music, including pop, dance, concert."
97,Food Video 97,food,recipe;cooking,681,121,2026-02-22T01:32:08,"A short video about food, including recipe, cooking."
98,Funny Video 98,funny,challenge;reaction,93,77,2025-12-21T04:15:34,"A short video about funny, including challenge, reaction."
99,Food Video 99,food,cooking;restaurant;recipe,267,41,2025-10-16T10:26:10,"A short video about food, including cooking, restaurant, recipe."
100,Movie Video 100,movie,trailer;review,571,136,2026-01-13T03:21:32,"A short video about movie, including trailer, review."
